"Geography Type","Year","Geography","Population - Total","Population - Age 0-17","Population - Age 18-29","Population - Age 30-39","Population - Age 40-49","Population - Age 50-59","Population - Age 60-69","Population - Age 70-79","Population - Age 80+","Population - Age 0-4","Population - Age 5-11","Population - Age 12-17","Population - Age 5+","Population - Age 18+","Population - Age 65+","Population - Female","Population - Male","Population - Latinx","Population - Asian Non-Latinx","Population - Black Non-Latinx","Population - White Non-Latinx","Population - Other Race Non-Latinx","Record ID"
"ZIP Code","2020","60603","1,186","15","423","248","68","176","146","91","19","3","3","9","1,183","1,171","198","560","626","62","397","29","692","6","ZIP_CODE-60603-2020"
"ZIP Code","2020","60604","729","5","313","171","30","77","89","36","8","0","0","5","729","724","65","441","288","23","127","72","507","0","ZIP_CODE-60604-2020"
"ZIP Code","2020","60605","30,950","2,608","8,678","8,486","3,408","3,377","2,282","1,702","409","1,359","964","276","29,591","28,342","3,154","16,330","14,620","2,232","5,648","4,272","17,704","1,094","ZIP_CODE-60605-2020"
"ZIP Code","2020","60606","3,204","96","709","1,169","475","373","264","118","0","63","33","0","3,141","3,108","301","1,679","1,525","152","1,037","50","1,835","130","ZIP_CODE-60606-2020"
"ZIP Code","2020","60607","30,306","3,362","11,381","7,946","3,004","2,194","1,315","561","543","1,679","1,100","551","28,627","26,944","1,609","14,910","15,396","2,768","6,415","3,878","16,068","1,177","ZIP_CODE-60607-2020"
"ZIP Code","2020","60608","80,011","14,068","20,182","15,269","10,053","8,276","7,137","3,407","1,619","3,964","5,777","4,308","76,047","65,943","8,420","35,434","44,577","37,287","11,310","13,763","16,527","1,124","ZIP_CODE-60608-2020"
"ZIP Code","2020","60609","60,551","15,379","11,640","8,023","8,382","6,892","5,364","3,810","1,061","4,004","6,189","5,172","56,547","45,172","7,675","30,569","29,982","31,898","4,332","14,380","9,321","620","ZIP_CODE-60609-2020"
"ZIP Code","2020","60610","40,954","3,385","12,949","8,874","3,303","3,753","4,522","2,975","1,193","1,292","1,049","1,036","39,662","37,569","6,136","21,419","19,535","2,316","4,169","5,120","27,733","1,616","ZIP_CODE-60610-2020"
"ZIP Code","2020","60611","33,937","2,127","8,405","6,959","3,061","4,126","4,435","3,468","1,356","1,000","641","486","32,937","31,810","7,036","18,054","15,883","1,946","7,015","957","23,261","758","ZIP_CODE-60611-2020"
"ZIP Code","2020","60612","32,240","6,760","6,933","5,287","4,255","3,855","3,051","1,393","706","1,793","2,594","2,042","30,447","25,480","3,448","17,225","15,015","4,749","1,518","17,357","7,634","982","ZIP_CODE-60612-2020"
"ZIP Code","2020","60613","51,399","6,285","14,297","13,342","5,915","4,930","3,289","2,065","1,276","2,879","2,157","1,249","48,520","45,114","4,670","26,339","25,060","6,166","3,413","3,170","36,979","1,671","ZIP_CODE-60613-2020"
"ZIP Code","2020","60614","72,391","10,603","24,659","14,106","7,173","6,262","5,552","2,726","1,310","3,479","4,043","3,031","68,912","61,788","6,427","36,172","36,219","4,456","5,249","2,678","57,985","2,023","ZIP_CODE-60614-2020"
"ZIP Code","2020","60615","41,198","6,110","11,393","6,135","4,195","4,609","4,863","2,440","1,453","2,016","2,176","1,918","39,182","35,088","6,131","22,639","18,559","2,258","3,373","21,733","11,747","2,087","ZIP_CODE-60615-2020"
"ZIP Code","2020","60616","52,557","7,134","11,280","8,908","6,237","7,390","6,164","2,968","2,476","2,258","2,360","2,487","50,299","45,423","8,787","27,430","25,127","4,029","20,303","12,577","14,378","1,270","ZIP_CODE-60616-2020"
"ZIP Code","2020","60617","82,101","20,843","13,979","9,578","10,027","10,431","8,133","5,569","3,541","4,898","7,579","8,366","77,203","61,258","13,343","45,093","37,008","31,311","194","45,210","4,830","556","ZIP_CODE-60617-2020"
"ZIP Code","2020","60618","94,646","20,813","16,088","20,651","14,846","9,977","6,466","4,014","1,791","7,002","7,973","5,785","87,644","73,833","8,360","47,492","47,154","37,188","6,237","2,208","45,370","3,643","ZIP_CODE-60618-2020"
"ZIP Code","2020","60619","61,372","12,667","9,118","7,547","6,800","9,223","8,048","4,472","3,497","3,457","4,505","4,702","57,915","48,705","11,362","34,416","26,956","1,050","173","58,359","613","1,177","ZIP_CODE-60619-2020"
"ZIP Code","2020","60620","68,761","16,203","10,753","7,954","8,243","9,215","7,759","5,081","3,553","4,177","6,390","5,636","64,584","52,558","12,360","37,732","31,029","1,680","233","65,198","797","853","ZIP_CODE-60620-2020"
"ZIP Code","2020","60621","26,736","7,157","4,311","2,784","2,662","3,654","3,236","1,580","1,352","2,442","2,644","2,064","24,294","19,579","4,145","14,588","12,148","908","131","24,744","389","564","ZIP_CODE-60621-2020"
"ZIP Code","2020","60622","52,957","7,103","14,013","16,274","6,717","3,990","2,471","1,373","1,016","3,220","2,199","1,670","49,737","45,854","3,572","26,139","26,818","11,265","2,401","2,833","34,127","2,331","ZIP_CODE-60622-2020"
"ZIP Code","2020","60623","77,732","20,657","14,285","11,701","9,476","8,424","6,855","4,615","1,719","5,313","8,361","6,983","72,419","57,075","9,465","39,368","38,364","51,970","213","22,214","2,989","346","ZIP_CODE-60623-2020"
"ZIP Code","2020","60624","35,054","9,336","6,757","4,366","4,094","4,253","3,516","1,640","1,092","2,729","3,849","2,748","32,325","25,718","4,204","18,277","16,777","2,589","48","30,583","1,176","658","ZIP_CODE-60624-2020"
"ZIP Code","2020","60625","78,820","15,832","14,588","17,768","10,967","8,363","6,687","2,691","1,924","5,366","5,826","4,584","73,454","62,988","7,303","40,253","38,567","25,957","9,250","3,504","36,492","3,617","ZIP_CODE-60625-2020"
"ZIP Code","2020","60632","86,715","23,661","17,253","12,227","10,482","9,650","6,839","4,795","1,808","6,266","9,150","8,244","80,449","63,054","9,356","41,922","44,793","71,914","5,774","936","7,721","370","ZIP_CODE-60632-2020"
"ZIP Code","2020","60633","12,720","2,785","1,929","1,958","1,374","2,099","1,156","927","492","639","1,100","1,036","12,081","9,935","1,945","6,373","6,347","5,605","0","3,268","3,817","30","ZIP_CODE-60633-2020"
"ZIP Code","2020","60634","75,604","15,430","10,876","10,909","10,921","11,400","7,989","5,382","2,697","3,927","5,624","5,871","71,677","60,174","11,221","38,951","36,653","29,667","3,881","1,441","39,825","790","ZIP_CODE-60634-2020"
"ZIP Code","2020","60636","30,039","6,809","4,911","3,142","3,505","3,903","2,919","3,563","1,287","1,786","2,584","2,439","28,253","23,230","6,067","16,370","13,669","3,428","24","25,679","395","513","ZIP_CODE-60636-2020"
"ZIP Code","2020","60637","46,621","10,666","11,532","5,997","4,924","4,970","4,668","2,521","1,343","2,717","4,130","3,707","43,904","35,955","5,751","26,192","20,429","1,409","2,279","34,827","6,451","1,655","ZIP_CODE-60637-2020"
"ZIP Code","2020","60638","57,057","13,803","7,720","8,573","7,682","8,140","6,209","2,799","2,131","3,519","5,290","4,994","53,538","43,254","7,700","27,984","29,073","30,149","310","1,959","24,154","485","ZIP_CODE-60638-2020"
"ZIP Code","2020","60639","88,515","23,270","15,119","13,086","12,292","9,829","8,491","4,421","2,007","5,868","8,876","8,523","82,647","65,245","10,149","44,344","44,171","67,494","1,232","11,718","7,144","927","ZIP_CODE-60639-2020"
"ZIP Code","2020","60640","69,726","9,088","14,076","15,316","9,444","9,428","6,077","3,264","3,033","3,227","3,498","2,348","66,499","60,638","8,860","33,739","35,987","9,836","7,808","11,682","38,178","2,222","ZIP_CODE-60640-2020"
"ZIP Code","2020","60641","70,163","15,784","11,010","11,930","10,276","8,953","6,964","3,477","1,769","4,413","6,052","5,291","65,750","54,379","7,836","36,602","33,561","37,411","3,462","1,777","25,057","2,456","ZIP_CODE-60641-2020"
"ZIP Code","2020","60642","20,191","1,810","6,738","5,997","2,572","1,371","1,089","418","196","913","521","376","19,278","18,381","1,074","9,968","10,223","3,450","1,708","1,916","12,346","771","ZIP_CODE-60642-2020"
"ZIP Code","2020","60643","48,572","11,319","6,078","5,563","5,646","7,595","6,204","3,208","2,959","2,949","3,877","4,472","45,623","37,253","8,783","26,643","21,929","1,818","207","34,282","10,549","1,716","ZIP_CODE-60643-2020"
"ZIP Code","2020","60644","45,919","11,798","7,417","5,721","5,613","5,164","5,681","2,759","1,766","3,627","4,513","3,656","42,292","34,121","6,983","24,201","21,718","4,286","148","38,773","1,840","872","ZIP_CODE-60644-2020"
"ZIP Code","2020","60645","46,924","12,164","7,302","5,971","6,731","5,465","5,086","2,485","1,720","4,059","4,407","3,685","42,865","34,760","6,366","23,331","23,593","9,083","7,214","6,711","21,736","2,180","ZIP_CODE-60645-2020"
"ZIP Code","2020","60646","29,043","6,708","3,478","3,564","4,361","3,692","3,484","2,045","1,711","1,898","2,727","2,083","27,145","22,335","5,322","15,601","13,442","4,086","2,803","179","21,289","686","ZIP_CODE-60646-2020"
"ZIP Code","2020","60647","85,658","15,040","21,614","21,752","10,871","7,195","5,272","2,445","1,469","5,618","5,127","4,267","80,040","70,618","6,254","43,046","42,612","34,024","3,394","4,039","41,547","2,654","ZIP_CODE-60647-2020"
"ZIP Code","2020","60649","47,084","10,038","7,796","7,125","5,897","5,588","5,941","3,113","1,586","3,362","3,578","3,097","43,722","37,046","7,304","26,070","21,014","1,261","164","43,514","1,487","658","ZIP_CODE-60649-2020"
"ZIP Code","2020","60651","63,679","16,789","11,532","9,323","7,695","7,482","5,852","3,147","1,859","3,808","6,802","6,170","59,871","46,890","7,801","34,149","29,530","25,440","181","33,762","3,183","1,113","ZIP_CODE-60651-2020"
"ZIP Code","2020","60652","42,296","10,768","6,875","5,147","5,950","5,941","4,444","2,077","1,094","2,596","3,904","4,267","39,700","31,528","5,100","21,753","20,543","18,354","356","18,670","4,342","574","ZIP_CODE-60652-2020"
"ZIP Code","2020","60653","33,574","8,697","5,366","4,804","3,855","3,872","3,528","2,120","1,332","2,876","3,312","2,490","30,698","24,877","4,978","19,060","14,514","1,382","468","28,717","2,097","910","ZIP_CODE-60653-2020"
"ZIP Code","2020","60654","20,812","1,228","6,074","6,593","2,215","2,398","1,481","540","283","794","391","43","20,018","19,584","1,460","9,951","10,861","1,598","2,637","775","14,977","825","ZIP_CODE-60654-2020"
"ZIP Code","2020","60655","27,771","6,878","3,741","3,312","3,624","4,216","3,540","1,595","865","1,793","2,597","2,488","25,978","20,893","3,847","14,296","13,475","2,537","376","1,587","22,424","847","ZIP_CODE-60655-2020"
"ZIP Code","2020","60656","28,982","5,445","3,827","5,520","3,516","3,713","3,646","2,147","1,168","1,969","2,102","1,374","27,013","23,537","5,233","14,086","14,896","3,587","2,796","950","20,907","742","ZIP_CODE-60656-2020"
"ZIP Code","2020","60657","70,489","8,776","24,075","16,688","6,733","5,762","4,573","2,424","1,458","3,696","3,252","1,828","66,793","61,713","5,949","33,780","36,709","5,782","4,898","2,326","54,926","2,557","ZIP_CODE-60657-2020"
"ZIP Code","2020","60659","43,843","11,916","6,839","6,603","5,566","5,244","4,704","1,947","1,024","3,668","4,272","3,967","40,175","31,927","4,945","21,932","21,911","9,085","11,517","3,594","16,904","2,743","ZIP_CODE-60659-2020"
"ZIP Code","2020","60660","45,131","5,779","11,358","8,952","5,574","5,192","4,463","2,451","1,362","2,279","2,141","1,302","42,852","39,352","5,842","22,140","22,991","7,995","6,455","6,621","22,350","1,710","ZIP_CODE-60660-2020"
"ZIP Code","2020","60661","10,734","884","3,350","3,953","1,442","658","317","73","57","592","250","42","10,142","9,850","298","5,240","5,494","894","2,977","307","6,209","347","ZIP_CODE-60661-2020"
"ZIP Code","2020","60666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ZIP_CODE-60666-2020"
"ZIP Code","2020","60707","42,434","8,937","6,383","5,901","6,070","6,218","4,672","2,687","1,566","2,145","3,731","3,061","40,289","33,497","6,507","22,350","20,084","17,614","1,404","2,812","19,880","724","ZIP_CODE-60707-2020"
"ZIP Code","2020","60827","28,327","8,579","4,770","3,536","3,472","3,357","2,952","1,178","483","2,699","3,187","2,686","25,628","19,748","3,023","15,709","12,618","1,861","2","25,362","646","456","ZIP_CODE-60827-2020"
"Citywide","2021","Chicago","2,696,561","540,255","519,276","464,574","338,452","314,035","269,647","167,261","83,061","149,430","215,061","174,812","2,547,131","2,156,306","373,166","1,387,010","1,309,551","777,744","184,263","757,971","887,130","89,453","Citywide-Chicago-2021"
"ZIP Code","2021","60601","14,804","999","5,065","3,739","1,390","970","1,515","910","216","359","436","184","14,445","13,805","1,963","8,260","6,544","1,234","3,827","908","8,124","711","ZIP_CODE-60601-2021"
"ZIP Code","2021","60602","1,142","119","163","658","67","95","33","7","0","60","59","0","1,082","1,023","24","540","602","311","101","38","537","155","ZIP_CODE-60602-2021"
"ZIP Code","2021","60603","1,275","33","399","266","81","196","191","93","16","12","11","10","1,263","1,242","224","595","680","78","397","71","723","6","ZIP_CODE-60603-2021"
"ZIP Code","2021","60604","687","6","335","122","38","74","61","33","18","0","0","6","687","681","71","421","266","30","70","72","515","0","ZIP_CODE-60604-2021"
"ZIP Code","2021","60605","32,077","2,841","9,038","8,714","3,740","3,127","2,539","1,640","438","1,196","1,174","461","30,881","29,236","3,143","16,395","15,682","2,841","4,942","4,571","18,296","1,427","ZIP_CODE-60605-2021"
"ZIP Code","2021","60606","3,298","121","790","1,202","367","478","184","156","0","75","46","0","3,223","3,177","256","1,567","1,731","179","1,087","16","1,967","49","ZIP_CODE-60606-2021"
"ZIP Code","2021","60607","29,990","3,300","11,585","7,356","3,360","1,967","1,289","624","509","1,622","1,127","515","28,368","26,690","1,594","14,801","15,189","2,743","6,690","3,717","15,534","1,306","ZIP_CODE-60607-2021"
"ZIP Code","2021","60608","83,689","15,392","19,489","16,442","10,590","9,000","7,655","3,393","1,728","3,924","6,462","4,994","79,765","68,297","8,837","36,923","46,766","39,476","11,486","14,042","16,943","1,742","ZIP_CODE-60608-2021"
"ZIP Code","2021","60609","61,861","15,202","11,900","8,011","8,603","7,565","5,743","3,821","1,016","3,888","6,090","5,212","57,973","46,659","7,772","30,963","30,898","33,408","3,924","14,573","9,140","816","ZIP_CODE-60609-2021"
"ZIP Code","2021","60610","42,422","3,817","13,841","8,534","3,536","4,139","4,285","2,945","1,325","1,287","1,292","1,231","41,135","38,605","6,390","22,094","20,328","2,109","4,019","4,967","29,571","1,756","ZIP_CODE-60610-2021"
"ZIP Code","2021","60611","34,562","2,093","8,272","6,821","3,200","4,446","4,710","3,601","1,419","1,117","590","386","33,445","32,469","7,339","18,203","16,359","2,232","7,076","1,077","23,254","923","ZIP_CODE-60611-2021"
"ZIP Code","2021","60612","33,908","7,522","6,902","6,022","4,567","3,769","3,091","1,459","576","1,967","2,924","2,368","31,941","26,386","3,386","17,922","15,986","5,119","1,535","18,516","7,703","1,035","ZIP_CODE-60612-2021"
"ZIP Code","2021","60613","53,282","6,579","14,724","13,666","5,978","5,383","3,432","2,264","1,256","2,936","2,315","1,328","50,346","46,703","4,757","26,335","26,947","6,124","4,572","3,140","37,714","1,732","ZIP_CODE-60613-2021"
"ZIP Code","2021","60614","72,119","10,625","23,433","14,255","7,267","6,302","5,659","3,127","1,451","3,396","4,108","3,078","68,723","61,494","7,001","35,674","36,445","4,411","5,148","2,734","57,602","2,224","ZIP_CODE-60614-2021"
"ZIP Code","2021","60615","41,767","6,101","11,172","6,657","4,594","4,703","4,983","2,358","1,199","1,759","2,232","2,103","40,008","35,666","5,885","22,768","18,999","2,205","3,395","22,218","11,805","2,144","ZIP_CODE-60615-2021"
"ZIP Code","2021","60616","53,085","7,072","10,961","9,848","5,886","7,332","6,280","3,176","2,530","2,257","2,503","2,285","50,828","46,013","8,695","27,548","25,537","3,988","19,773","12,330","15,582","1,412","ZIP_CODE-60616-2021"
"ZIP Code","2021","60617","84,193","21,647","13,650","10,388","10,017","10,635","8,727","5,763","3,366","5,041","7,980","8,626","79,152","62,546","13,507","46,014","38,179","33,740","171","44,794","4,880","608","ZIP_CODE-60617-2021"
"ZIP Code","2021","60618","95,078","20,763","15,721","20,655","15,333","10,280","6,732","3,849","1,745","6,673","7,628","6,390","88,405","74,315","8,176","47,846","47,232","36,407","6,077","2,417","45,911","4,266","ZIP_CODE-60618-2021"
"ZIP Code","2021","60619","63,481","13,711","8,621","8,675","7,304","9,386","8,234","4,333","3,217","3,597","5,124","4,987","59,884","49,770","11,094","35,506","27,975","1,043","168","60,173","607","1,490","ZIP_CODE-60619-2021"
"ZIP Code","2021","60620","69,357","16,375","11,103","7,892","8,218","9,119","7,917","5,087","3,646","4,566","6,255","5,554","64,791","52,982","12,580","38,240","31,117","1,937","204","65,454","774","988","ZIP_CODE-60620-2021"
"ZIP Code","2021","60621","26,538","7,066","4,325","2,919","2,744","3,611","3,047","1,585","1,241","2,069","2,730","2,257","24,469","19,472","4,039","13,937","12,601","959","144","24,499","398","538","ZIP_CODE-60621-2021"
"ZIP Code","2021","60622","54,650","7,711","14,330","17,062","6,684","3,977","2,478","1,426","982","3,549","2,446","1,701","51,101","46,939","3,568","27,177","27,473","11,270","2,605","3,189","35,064","2,522","ZIP_CODE-60622-2021"
"ZIP Code","2021","60623","77,352","20,412","14,022","11,283","9,656","8,521","6,635","4,999","1,824","5,125","8,375","6,912","72,227","56,940","9,860","39,857","37,495","51,574","263","21,992","3,002","521","ZIP_CODE-60623-2021"
"ZIP Code","2021","60624","36,986","9,901","7,066","4,505","4,707","4,350","3,824","1,591","1,042","2,668","3,727","3,498","34,318","27,085","4,110","19,078","17,908","2,859","137","32,122","1,262","606","ZIP_CODE-60624-2021"
"ZIP Code","2021","60625","80,028","15,667","14,404","17,535","11,247","9,346","6,949","3,029","1,851","4,751","5,979","4,797","75,277","64,361","8,047","40,506","39,522","25,898","10,121","3,780","37,163","3,066","ZIP_CODE-60625-2021"
"ZIP Code","2021","60632","87,395","23,015","17,076","12,882","10,088","10,607","6,700","5,277","1,750","6,159","8,628","8,227","81,236","64,380","9,802","42,553","44,842","72,204","6,020","881","7,916","374","ZIP_CODE-60632-2021"
"ZIP Code","2021","60633","12,674","2,808","2,068","1,784","1,207","2,117","1,391","792","507","696","1,193","909","11,978","9,866","1,926","6,467","6,207","5,271","10","3,295","4,039","59","ZIP_CODE-60633-2021"
"ZIP Code","2021","60634","77,520","15,738","10,821","10,920","11,140","12,006","8,785","5,645","2,465","3,661","5,869","6,201","73,859","61,782","11,458","40,219","37,301","31,680","4,147","1,919","38,741","1,033","ZIP_CODE-60634-2021"
"ZIP Code","2021","60636","30,412","6,796","4,736","3,468","3,139","3,953","3,405","3,498","1,417","2,017","2,411","2,368","28,395","23,616","6,266","15,764","14,648","4,273","49","25,213","341","536","ZIP_CODE-60636-2021"
"ZIP Code","2021","60637","49,514","11,594","12,076","5,686","5,685","5,273","5,224","2,561","1,415","2,670","4,530","4,278","46,844","37,920","6,060","27,240","22,274","1,377","2,503","36,352","7,374","1,908","ZIP_CODE-60637-2021"
"ZIP Code","2021","60638","58,959","14,291","7,806","9,061","8,027","8,239","6,491","2,894","2,150","3,653","5,613","5,025","55,306","44,668","8,057","28,947","30,012","32,605","384","1,583","23,996","391","ZIP_CODE-60638-2021"
"ZIP Code","2021","60639","89,037","23,367","14,895","13,204","12,078","9,824","8,980","4,439","2,250","5,889","8,890","8,587","83,148","65,670","10,528","45,013","44,024","66,456","1,772","11,773","8,026","1,010","ZIP_CODE-60639-2021"
"ZIP Code","2021","60640","67,936","8,275","14,058","14,701","9,720","9,101","5,610","3,493","2,978","3,011","3,162","2,087","64,925","59,661","8,976","32,418","35,518","9,246","7,216","11,301","37,673","2,500","ZIP_CODE-60640-2021"
"ZIP Code","2021","60641","71,003","16,177","10,483","12,180","10,340","9,095","7,209","3,626","1,893","4,432","6,361","5,346","66,571","54,826","8,030","36,504","34,499","38,552","3,487","1,694","25,142","2,128","ZIP_CODE-60641-2021"
"ZIP Code","2021","60642","21,374","1,884","7,010","6,681","2,697","1,258","1,258","399","187","996","503","385","20,378","19,490","1,155","10,672","10,702","3,406","1,583","2,021","13,545","819","ZIP_CODE-60642-2021"
"ZIP Code","2021","60643","49,796","11,440","6,035","5,723","6,039","7,664","6,678","3,271","2,946","2,802","4,116","4,491","46,994","38,356","8,986","26,963","22,833","1,817","292","35,528","10,557","1,602","ZIP_CODE-60643-2021"
"ZIP Code","2021","60644","47,630","12,279","7,590","5,998","6,242","5,407","5,697","3,011","1,406","3,357","5,033","3,887","44,273","35,351","6,798","25,600","22,030","4,335","303","40,264","1,811","917","ZIP_CODE-60644-2021"
"ZIP Code","2021","60645","48,585","13,057","7,196","6,388","6,782","5,537","5,457","2,663","1,505","4,211","4,918","3,918","44,374","35,528","6,744","24,038","24,547","10,050","7,216","7,263","21,537","2,519","ZIP_CODE-60645-2021"
"ZIP Code","2021","60646","29,326","7,002","3,256","3,810","4,221","3,711","3,288","2,280","1,758","2,014","2,668","2,320","27,312","22,324","5,361","15,857","13,469","4,113","3,259","198","20,895","861","ZIP_CODE-60646-2021"
"ZIP Code","2021","60647","85,564","14,620","20,816","22,494","10,556","7,690","5,404","2,522","1,462","5,488","5,247","3,860","80,076","70,944","6,319","42,804","42,760","32,028","3,596","4,961","42,071","2,908","ZIP_CODE-60647-2021"
"ZIP Code","2021","60649","48,973","10,532","7,859","7,993","5,542","5,755","6,692","2,991","1,609","3,375","4,157","3,000","45,598","38,441","7,360","26,516","22,457","1,409","294","45,258","1,394","618","ZIP_CODE-60649-2021"
"ZIP Code","2021","60651","64,638","16,307","11,658","9,381","8,423","7,136","6,552","3,379","1,802","3,826","6,323","6,152","60,812","48,331","8,123","34,297","30,341","25,519","161","34,288","3,583","1,087","ZIP_CODE-60651-2021"
"ZIP Code","2021","60652","43,485","11,059","6,951","5,594","6,664","5,503","4,559","2,048","1,107","2,282","4,342","4,434","41,203","32,426","5,265","22,212","21,273","20,528","358","18,340","3,615","644","ZIP_CODE-60652-2021"
"ZIP Code","2021","60653","34,519","8,652","5,294","4,731","4,096","4,416","3,959","2,055","1,316","2,726","3,055","2,849","31,793","25,867","5,161","20,148","14,371","1,593","440","29,390","2,172","924","ZIP_CODE-60653-2021"
"ZIP Code","2021","60654","21,859","926","7,081","6,891","2,052","2,412","1,634","615","248","484","364","78","21,375","20,933","1,672","10,783","11,076","1,835","2,671","898","15,525","930","ZIP_CODE-60654-2021"
"ZIP Code","2021","60655","28,751","7,061","3,795","3,295","4,013","4,273","3,559","1,809","946","1,619","2,945","2,497","27,132","21,690","4,197","14,472","14,279","2,691","411","1,498","23,305","846","ZIP_CODE-60655-2021"
"ZIP Code","2021","60656","28,665","5,489","3,538","5,182","3,847","3,713","3,727","2,030","1,139","1,865","2,065","1,559","26,800","23,176","5,064","13,832","14,833","3,647","3,241","1,034","20,027","716","ZIP_CODE-60656-2021"
"ZIP Code","2021","60657","72,113","9,371","23,860","17,192","7,404","5,857","4,513","2,517","1,399","4,060","3,341","1,970","68,053","62,742","5,948","34,485","37,628","6,393","4,688","2,648","55,384","3,000","ZIP_CODE-60657-2021"
"ZIP Code","2021","60659","43,729","11,751","6,546","6,087","5,544","5,914","4,722","1,941","1,224","3,394","4,027","4,320","40,335","31,978","5,117","22,259","21,470","10,484","11,678","3,678","15,716","2,173","ZIP_CODE-60659-2021"
"ZIP Code","2021","60660","44,972","5,918","10,937","9,113","5,752","4,907","4,343","2,733","1,269","2,396","2,288","1,184","42,576","39,054","6,121","22,182","22,790","7,934","6,118","6,411","22,391","2,118","ZIP_CODE-60660-2021"
"ZIP Code","2021","60661","11,073","870","3,293","4,199","1,510","726","308","109","58","529","293","48","10,544","10,203","318","5,369","5,704","910","3,177","262","6,388","336","ZIP_CODE-60661-2021"
"ZIP Code","2021","60666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ZIP_CODE-60666-2021"
"ZIP Code","2021","60707","41,309","8,672","5,879","5,966","5,835","5,481","4,876","3,055","1,545","2,030","3,558","3,084","39,279","32,637","6,874","21,941","19,368","16,839","1,491","2,796","19,405","778","ZIP_CODE-60707-2021"
"ZIP Code","2021","60827","26,010","8,279","4,338","3,268","3,208","2,792","2,673","1,039","413","2,374","3,184","2,714","23,636","17,731","2,656","14,285","11,725","1,764","3","23,328","416","499","ZIP_CODE-60827-2021"
"ZIP Code","2021","60626","50,295","8,007","11,937","8,965","6,995","6,738","4,360","2,178","1,115","2,810","2,977","2,165","47,485","42,288","5,098","25,318","24,977","9,694","2,724","12,646","23,029","2,202","ZIP_CODE-60626-2021"
"ZIP Code","2021","60628","64,489","13,734","11,638","7,491","7,593","9,066","6,930","4,860","3,177","3,557","5,498","4,657","60,932","50,755","10,940","34,961","29,528","2,775","79","59,168","1,462","1,005","ZIP_CODE-60628-2021"
"ZIP Code","2021","60629","107,487","29,283","20,690","13,227","14,954","11,096","8,187","7,688","2,362","8,267","10,786","10,229","99,220","78,204","13,746","53,753","53,734","79,111","595","18,878","7,650","1,253","ZIP_CODE-60629-2021"
"ZIP Code","2021","60630","55,591","11,093","7,053","8,926","7,337","7,479","7,975","3,605","2,123","3,238","4,359","3,490","52,353","44,498","9,658","27,787","27,804","14,180","7,122","1,007","31,325","1,957","ZIP_CODE-60630-2021"
"ZIP Code","2021","60631","30,589","6,925","3,308","4,357","3,813","4,657","3,686","1,846","1,997","2,342","2,663","1,920","28,247","23,664","5,546","15,516","15,073","4,491","1,262","307","23,360","1,169","ZIP_CODE-60631-2021"
